"Symbol","Data","Cap","Float"
"EXG","Y",2870,NA
"EXK","Y",883.02,156.41
"EXP","Y",5960,41.44
"EXPR","Y",220.46,62.6
"EXR","Y",19180,128.15
"EXTN","Y",103.63,31.91
"F","Y",47510,3840
"FAF","Y",6670,108.24
"FAM","Y",101.33,NA
"FBC","Y",2350,51.59
"FBHS","Y",13930,138.36
"FBK","Y",1980,32.73
"FBP","Y",2560,214.25
"FC","Y",429.31,11.82
"FCF","Y",1370,94.64
"FCN","Y",5000,34.14
"FCPT","Y",2190,72.67
"FCT","Y",317.78,NA
"FCX","Y",54000,1440
"FDEU","Y",227.46,NA
"FDP","Y",1370,34.44
"FDS","Y",11850,37.46
"FDX","Y",76100,244.82
"FE","Y",19380,541.22
"FEDU","Y",51.47,13.09
"FEI","Y",323.27,NA
"FENG","Y",111.44,30.88
"FEO","Y",71.38,NA
"FET","Y",104.11,3.94
"FF","Y",571.61,25.64
"FFA","Y",390.24,NA
"FFC","Y",1050,NA
"FFG","Y",1360,9.57
"FGB","Y",59.05,NA
"FHN","Y",9640,546.61
"FI","Y",785.79,155.73
"FICO","Y",15430,28.71
"FIF","Y",216.22,NA
"FINS","Y",NA,NA
"FINV","Y",1880,82.54
"FIS","Y",94790,616.11
"FIT","Y",NA,NA
"FIV","Y",338.25,NA
"FIX","Y",2910,35.44
"FL","Y",6000,90.11
"FLC","Y",253.03,NA
"FLNG","Y",642.93,28.51
"FLO","Y",5080,194.14
"FLOW","Y",2800,41.71
"FLR","Y",3060,137.69
"FLS","Y",5180,129.94
"FLT","Y",24250,78.96
"FLY","Y",516.39,26.54
"FMC","Y",14440,128.94
"FMN","Y",173.72,NA
"FMO","Y",68.9,NA
"FMS","Y",22610,396.99
"FMX","Y",25650,354.24
"FMY","Y",57.57,NA
"FN","Y",3300,36.65
"FNB","Y",4080,320.12
"FND","Y",11260,100.78
"FNF","Y",13040,277.14
"FNV","Y",26120,189.59
"FOE","Y",1400,81.14
"FOF","Y",374.82,NA
"FOR","Y",1200,16.48
"FPAC","Y",594.6,NA
"FPF","Y",1490,NA
"FPH","Y",499.35,64
"FPI","Y",392.5,25.05
"FPL","Y",134.74,NA
"FR","Y",6260,127.62
"FRA","Y",455.47,NA
"FRC","Y",30080,170.16
"FRO","Y",1490,99.52
"FRT","Y",8210,75.94
"FSD","Y",508.08,NA
"FSK","Y",2530,NA
"FSLY","Y",7750,94.55
"FSM","Y",1390,181.48
"FSS","Y",2380,59.3
"FT","Y",193.77,NA
"FTAI","Y",2470,84.72
"FTCH","Y",17380,227.05
"FTI","Y",3300,446.38
"FTK","Y",109.68,66.28
"FTS","Y",20650,466.17
"FTV","Y",24400,322.48
"FUL","Y",3440,51.56
"FUN","Y",2710,55.8
"FVRR","Y",8020,25.58
"F","Y",47510,3840
"G","Y",8300,175.29
"GAB","Y",1840,NA
"GAM","Y",1020,23.52
"GATX","Y",3400,34.41
"GBAB","Y",471.89,NA
"GBL","Y",508.62,7.99
"GBX","Y",1410,31.85
"GCI","Y",671.52,129.53
"GCO","Y",689.19,14.1
"GCP","Y",1860,72.24
"GCV","Y",120.46,NA
"GD","Y",52240,269.37
"GDDY","Y",14740,166.96
"GDL","Y",124.72,NA
"GDO","Y",267.4,NA
"GDOT","Y",2360,51.25
"GDV","Y",2250,NA
"GE","Y",119650,8750
"GEF","Y",2840,24.83
"GEL","Y",1160,105.78
"GEN","Y",NA,NA
"GEO","Y",691.07,117.22
"GER","Y",168.72,NA
"GES","Y",1760,38.26
"GF","Y",324.07,NA
"GFF","Y",1520,45.72
"GFI","Y",8290,862.71
"GGB","Y",9480,566.09
"GGG","Y",12700,165.65
"GGM","Y",212.93,NA
"GGT","Y",257.19,NA
"GGZ","Y",134.98,NA
"GHC","Y",3210,3.88
"GHG","Y",1350,32.65
"GHL","Y",356.74,14.01
"GHM","Y",138.83,9.54
"GHY","Y",617.13,NA
"GIB","Y",19330,194.41
"GIL","Y",6540,194.68
"GIM","Y",723.04,NA
"GIS","Y",36930,608.61
"GIX","Y",198.7,4.38
"GJH","Y",NA,NA
"GJO","Y",NA,NA
"GJP","Y",NA,NA
"GJR","Y",NA,NA
"GJS","Y",NA,NA
"GJT","Y",NA,NA
"GKOS","Y",3890,43.57
"GL","Y",10540,102.54
"GLEO","Y",NA,NA
"GLOB","Y",8860,37.87
"GLOG","Y",555,43.65
"GLOP","Y",137.88,37.75
"GLP","Y",744.48,26.6
"GLT","Y",761.96,43.34
"GLW","Y",35500,685.88
"GL","Y",10540,102.54
"GM","Y",83260,1370
"GME","Y",11640,54.16
"GMED","Y",6900,97.81
"GMRE","Y",852.35,44.41
"GMS","Y",1860,41.61
"GMTA","Y",NA,NA
"GNE","Y",153.73,17.04
"GNK","Y",510.1,29.47
"GNL","Y",1720,84.73
"GNRC","Y",19720,61.84
"GNT","Y",112.69,NA
"GNW","Y",1810,500.56
"GOF","Y",1050,NA
"GOL","Y",1150,78.17
"GOLD","Y",38870,1770
"GOLF","Y",3250,33.94
"GOOS","Y",2390,59.3
"GPC","Y",17020,140.3
"GPI","Y",2980,17.36
"GPJA","Y",NA,NA
"GPK","Y",5140,268.17
"GPM","Y",363.05,NA
"GPMT","Y",691,54.13
"GPN","Y",63660,292.29
"GPRK","Y",1010,36.84
"GPS","Y",12250,208.89
"GPX","Y",277.24,15.83
"GRA","Y",4260,63.25
"GRC","Y",874.59,21.35
"GRUB","Y",6940,91.95
"GRX","Y",222.04,NA
"GS","Y",116350,342.04
"GSAH","Y",963.72,75
"GSBD","Y",1970,NA
"GSK","Y",94040,2450
"GSL","Y",494.42,30.04
"GSLD","Y",NA,NA
"GSL","Y",494.42,30.04
"GSX","Y",6410,123.9
"GS","Y",116350,342.04
"GTES","Y",5020,290.31
"GTN","Y",1870,86.56
"GTS","Y",601.79,22.48
"GTT","Y",95.29,45.75
"GTY","Y",1330,36.13
"GUT","Y",378.05,NA
"GVA","Y",1810,45.05
"GWB","Y",1700,54.84
"GWRE","Y",8770,83.66
"GWW","Y",21280,46.42
"GYC","Y",NA,NA
"H","Y",8330,37.72
"HAE","Y",3850,50.52
"HAL","Y",18710,885.87
"HASI","Y",4130,74.18
"HBB","Y",272.7,5.24
"HBI","Y",6940,344.23
"HBM","Y",2010,174.67
"HCA","Y",64520,264.82
"HCC","Y",937.57,50.96
"HCHC","Y",284.57,48.69
"HCI","Y",634.57,6.41
"HCXY","Y",NA,NA
"HCXZ","Y",NA,NA
"HD","Y",345720,1070
"HDB","Y",124710,NA
"HE","Y",4710,108.34
"HEI","Y",17150,115.11
"HEP","Y",2090,45.56
"HEQ","Y",150.11,NA
"HES","Y",21680,273.18
"HESM","Y",6440,11.4
"HEXO","Y",685.36,116.05
"HFC","Y",5650,160.33
"HFRO","Y",816.96,NA
"HGH","Y",NA,NA
"HGLB","Y",198.69,NA
"HGV","Y",3460,84.46
"HHC","Y",5820,52.92
"HI","Y",3700,74.32
"HIE","Y",183.92,NA
"HIG","Y",24070,356.8
"HII","Y",8480,39.37
"HIL","Y",163.25,48.41
"HIO","Y",488.81,NA
"HIW","Y",4510,102.63
"HIX","Y",592.2,NA
"HKIB","Y",1880,20.76
"HL","Y",3390,521.5
"HLF","Y",5520,117.28
"HLI","Y",4610,51.44
"HLT","Y",34860,272.1
"HLX","Y",727.94,140.7
"HL","Y",3390,521.5
"HMC","Y",55400,1600
"HMI","Y",NA,NA
"HMLP","Y",531.23,17.58
"HMN","Y",1740,40.86
"HMY","Y",2700,432.93
"HNGR","Y",928.95,36.06
"HNI","Y",1750,42.17
"HNP","Y",8610,339.94
"HOG","Y",6800,152.24
"HOME","Y",1860,64.27
"HON","Y",158840,687.31
"HOV","Y",684.74,5.45
"HP","Y",2860,104.21
"HPE","Y",20620,1290
"HPF","Y",452.25,NA
"HPI","Y",540.86,NA
"HPP","Y",4200,149.12
"HPQ","Y",41570,1230
"HPR","Y",NA,NA
"HPS","Y",574.67,NA
"HQH","Y",1110,NA
"HQL","Y",485.35,NA
"HR","Y",4480,138.47
"HRB","Y",3940,180.18
"HRC","Y",7500,66.26
"HRI","Y",2850,28.89
"HRL","Y",24880,281.87
"HRTG","Y",299.52,24.84
"HSBC","Y",119230,NA
"HSC","Y",1440,77.6
"HSY","Y",33290,144.84
"HT","Y",411.22,34.58
"HTA","Y",6260,217.44
"HTD","Y",849.62,NA
"HTFA","Y",NA,NA
"HTGC","Y",1970,113.23
"HTH","Y",2740,71.05
"HTY","Y",69.63,NA
"HT","Y",411.22,34.58
"HUBB","Y",10160,54.08
"HUBS","Y",24070,43.41
"HUM","Y",56580,127.57
"HUN","Y",6380,200.1
"HUYA","Y",4120,80.96
"HVT","Y",718.84,15.48
"HXL","Y",4690,83.2
"HY","Y",1410,9.7
"HYB","Y",212.89,NA
"HYI","Y",347.93,NA
"HYT","Y",1440,NA
"HZN","Y",218.52,21.01
"HZO","Y",1060,21.45
"IAA","Y",8090,134.24
"IAE","Y",109.47,NA
"IAG","Y",1600,474.11
"IBA","Y",2270,13.38
"IBM","Y",118060,889.92
"IBN","Y",52070,3390
"IBP","Y",3770,23.37
"ICD","Y",20.02,6.02
"ICE","Y",66890,554.76
"ICL","Y",8280,694.05
"IDA","Y",5110,50.21
"IDE","Y",236.9,NA
"IDT","Y",561.99,9.93
"IEX","Y",16500,75.55
"IFF","Y",35320,224.19
"IFN","Y",550.47,NA
"IFS","Y",3390,33.75
"IGA","Y",172.45,NA
"IGD","Y",568.47,NA
"IGI","Y",230.95,NA
"IGR","Y",944.38,NA
"IGT","Y",3300,98.88
"IHC","Y",652.21,4.72
"IHD","Y",149.84,NA
"IHG","Y",13070,166.59
"IHIT","Y",222.78,NA
"IHTA","Y",NA,NA
"IID","Y",NA,NA
"IIF","Y",252.54,NA
"IIM","Y",748.2,NA
"IIPR","Y",4290,23.48
"IMAX","Y",1280,49.19
"INFO","Y",43530,396.38
"INFY","Y",77310,3670
"ING","Y",48090,3900
"INGR","Y",6170,66.61
"INN","Y",1030,102.01
"INSI","Y",214.09,NA
"INSP","Y",6270,25.92
"INSW","Y",513.95,27.63
"INT","Y",2150,61.48
"INVH","Y",18930,559.21
"IO","Y",38.97,10.96
"IP","Y",22190,391.97
"IPG","Y",11830,387.18
"IPI","Y",400.86,7.81
"IQI","Y",700.71,NA
"IQV","Y",41190,189.2
"IR","Y",20940,371.5
"IRL","Y",63.99,NA
"IRM","Y",11140,284.47
"IRR","Y",73.97,NA
"IRS","Y",412.93,19.06
"IRT","Y",1650,94.05
"ISD","Y",526.12,NA
"IT","Y",16910,86.63
"ITCB","Y",2050,101.08
"ITGR","Y",3090,32.39
"ITT","Y",7880,85.72
"ITUB","Y",45630,5300
"ITW","Y",69960,315.93
"IVC","Y",297.61,33.53
"IVH","Y",225.19,NA
"IVR","Y",863.51,230.39
"IVZ","Y",12270,376.41
"IX","Y",21090,244.49
"J","Y",17410,128.94
"JAX","Y",148.94,14.38
"JBGS","Y",4250,127.48
"JBK","Y",NA,NA
"JBL","Y",7970,138.04
"JBT","Y",4270,31.1
"JCE","Y",252.78,NA
"JCI","Y",44640,718.26
"JCO","Y",240.32,NA
"JDD","Y",194.91,NA
"JE","Y",NA,NA
"JEF","Y",7920,204.02
"JELD","Y",2990,66.47
"JEMD","Y",NA,NA
"JEQ","Y",124.43,NA
"JE","Y",NA,NA
"JFR","Y",548.13,NA
"JGH","Y",362.03,NA
"JHAA","Y",NA,NA
"JHB","Y",NA,NA
"JHG","Y",5760,170.47
"JHI","Y",157.25,NA
"JHS","Y",179.12,NA
"JHX","Y",14890,440.53
"JIH","Y",NA,NA
"JILL","Y",79.64,3.45
"JKS","Y",1640,44.55
"JLL","Y",9240,50.99
"JLS","Y",115.29,NA
"JMIA","Y",2930,78.37
"JMM","Y",NA,NA
"JMP","Y",132.48,7.95
"JNJ","Y",423430,2610
"JNPR","Y",8350,324.1
"JOE","Y",2580,57.22
"JOF","Y",265.21,NA
"JP","Y",72.55,4.78
"JPC","Y",986.01,NA
"JPI","Y",572.9,NA
"JPM","Y",459440,3030
"JPS","Y",1990,NA
"JPT","Y",NA,NA
"JQC","Y",892.31,NA
"JRI","Y",419.49,NA
"JRO","Y",385.14,NA
"JRS","Y",290.66,NA
"JSD","Y",143.62,NA
"JT","Y",54.1,16.31
"JTA","Y",152.36,NA
"JTD","Y",223.49,NA
"JWN","Y",5630,109.79
"K","Y",21550,337.15
"KAI","Y",2070,11.28
"KAMN","Y",1440,27.17
"KAR","Y",1960,128.17
"KB","Y",19930,384.01
"KBH","Y",4380,75
"KBR","Y",5550,141.18
"KEN","Y",1800,22.58
"KEP","Y",14020,1050
"KEX","Y",3720,59.36
"KEY","Y",19530,956.5
"KEYS","Y",26690,185.19
"KEY","Y",19530,956.5
"KF","Y",225.4,NA
"KFS","Y",101.27,15.66
"KFY","Y",3480,53.11
"KGC","Y",9340,1260
"KIM","Y",8700,420.77
"KIO","Y",322.39,NA
"KKR","Y",45100,514.36
"KL","Y",10090,266.91
"KMB","Y",46860,337.22
"KMF","Y",314.81,NA
"KMI","Y",38050,1950
"KMPR","Y",5440,62.66
"KMT","Y",3460,83.07
"KMX","Y",21020,161.41
"KN","Y",1920,89.5
"KNL","Y",1160,47.16
"KNOP","Y",621.64,24.65
"KNX","Y",8210,154.77
"KO","Y",231190,4270
"KODK","Y",565.32,43.71
"KOF","Y",2550,162.03
"KOP","Y",717.27,20.1
"KOS","Y",1110,380.44
"KR","Y",28210,750.29
"KRA","Y",1210,31.28
"KRC","Y",7880,113.29
"KREF","Y",1080,33.62
"KRG","Y",1680,83.38
"KRO","Y",1950,21.99
"KRP","Y",395.76,6.94
"KSM","Y",133.77,NA
"KSS","Y",9350,155.97
"KSU","Y",23420,90.36
"KT","Y",6660,457.68
"KTB","Y",3470,52.71
"KTF","Y",466.11,NA
"KTH","Y",NA,NA
"KTN","Y",NA,NA
"KW","Y",2900,121.25
"KWR","Y",4290,13.31
"KYN","Y",911.69,NA
"L","Y",14400,224.2
"LAC","Y",1690,91.7
"LAD","Y",10540,26.04
"LADR","Y",1450,104.06
"LAIX","Y",98.77,29.44
"LAZ","Y",5260,100.87
"LB","Y",18360,224.83
"LBRT","Y",2050,79.05
"LC","Y",1330,75.73
"LCI","Y",204.55,32.6
"LCII","Y",3490,24.32
"LDL","Y",567.32,16.8
"LDOS","Y",14330,141.34
"LDP","Y",NA,NA
"LEA","Y",10810,59.94
"LEAF","Y",336.33,24.04
"LEE","Y",176.59,4.99
"LEG","Y",6490,130.89
"LEJU","Y",294.15,134.53
"LEN","Y",30950,285.32
"LEO","Y",537.49,NA
"LEVI","Y",10750,67.03
"LFC","Y",109120,4450
"LGI","Y",257.98,NA
"LH","Y",25150,96.82
"LHX","Y",43120,203.48
"LII","Y",12480,34.5
"LIN","Y",149780,522.37
"LINX","Y",1210,104.31
"LITB","Y",318.37,102.74
"LL","Y",738.98,27.51
"LLY","Y",178660,856.6
"LMT","Y",109390,238.05
"LNC","Y",12280,182.01
"LND","Y",418.09,31.15
"LNN","Y",1770,10.77
"LOMA","Y",1190,118.01
"LOW","Y",143740,709.95
"LPG","Y",655.91,41.25
"LPI","Y",479.27,11.52
"LPL","Y",8040,444.1
"LPX","Y",7050,105.18
"LRN","Y",1240,39.93
"LSI","Y",6990,73.65
"LTC","Y",1710,38.53
"LTHM","Y",2550,145.23
"LUB","Y",107.91,18.77
"LUV","Y",37000,588.84
"LVS","Y",46530,330.66
"LW","Y",11390,145.1
"LXFR","Y",578.44,25.75
"LXP","Y",3270,271.38
"LXU","Y",177.72,24.22
"LYB","Y",35690,255.83
"LYG","Y",42200,17360
"LYV","Y",17630,158.98
"LZB","Y",1980,45.22
"M","Y",5210,308.08
"MA","Y",379940,868.47
"MAA","Y",17200,113.53
"MAC","Y",2080,147.9
"MAIN","Y",2860,62.42
"MAN","Y",5900,54.45
"MANU","Y",2830,31.47
"MAS","Y",16040,252.34
"MATX","Y",3020,42.27
"MAV","Y",289.89,NA
"MAXR","Y",2550,60.19
"MBI","Y",540.74,47.24
"MBT","Y",8220,461.49
"MC","Y",3390,55.16
"MCA","Y",516.09,NA
"MCB","Y",447.12,7.82
"MCD","Y",171620,744.69
"MCI","Y",286.5,NA
"MCK","Y",30540,157.74
"MCN","Y",166.32,NA
"MCO","Y",59370,187.11
"MCR","Y",383.32,NA
"MCS","Y",672.13,22.43
"MCY","Y",3590,26.52
"MD","Y",2260,82.8
"MDC","Y",4150,51.65
"MDLA","Y",4580,137.59
"MDLQ","Y",NA,NA
"MDLX","Y",NA,NA
"MDLY","Y",39.02,5.63
"MDP","Y",1220,40.14
"MDT","Y",169950,1350
"MDU","Y",6580,198.65
"MEC","Y",317.27,19.54
"MED","Y",2740,11.21
"MEI","Y",1720,34.96
"MEN","Y",358.55,NA
"MET","Y",55120,762.6
"MFA","Y",1850,405.68
"MFA","Y",1850,405.68
"MFC","Y",41480,1940
"MFD","Y",83.08,NA
"MFG","Y",36380,12670
"MFGP","Y",2500,332.1
"MFL","Y",549.12,NA
"MFM","Y",283.78,NA
"MFT","Y",NA,NA
"MFV","Y",46.18,NA
"MG","Y",327.94,19.34
"MGA","Y",28130,275.7
"MGF","Y",140.77,NA
"MGM","Y",19400,400.36
"MGP","Y",17090,131.06
"MGR","Y",NA,NA
"MGU","Y",285.15,NA
"MGY","Y",2800,127.4
"MHD","Y",232.33,NA
"MHE","Y",32.34,NA
"MHF","Y",169.71,NA
"MHI","Y",288.51,NA
"MHK","Y",13740,57.84
"MHLA","Y",NA,NA
"MHN","Y",445.5,NA
"MHNC","Y",NA,NA
"MHO","Y",1750,28.11
"MIC","Y",2830,87.01
"MIE","Y",85.84,NA
"MIN","Y",424.31,NA
"MITT","Y",154.17,39.99
"MIXT","Y",318.68,11.6
"MIY","Y",450.31,NA
"MKC","Y",23640,261.79
"MKL","Y",16560,13.45
"MLI","Y",2530,55.23
"MLM","Y",21640,61.7
"MLP","Y",224.89,6.67
"MLR","Y",510.08,10.99
"MMC","Y",64540,502.52
"MMD","Y",610.6,NA
"MMI","Y",1430,38.01
"MMM","Y",114430,578
"MMP","Y",10240,222.98
"MMS","Y",5880,60.75
"MMT","Y",393.67,NA
"MMU","Y",575.06,NA
"MN","Y",131.81,13.2
"MNP","Y",151.33,NA
"MNR","Y",1800,94.94
"MNRL","Y",924.13,42.89
"MO","Y",89690,1850
"MOD","Y",807.85,49.15
"MODN","Y",1380,32.27
"MOGU","Y",164.82,84.21
"MOH","Y",14790,57.98
"MOS","Y",12300,343.2
"MOV","Y",718.02,16.15
"MPA","Y",198.01,NA
"MPC","Y",34580,646.9
"MPLX","Y",27820,387.99
"MPV","Y",138.88,NA
"MPW","Y",12760,572.52
"MPX","Y",549.11,8.18
"MQT","Y",314.69,NA
"MQY","Y",494.38,NA
"MRC","Y",763.83,78.45
"MRK","Y",194530,2530
"MRO","Y",8630,787.3
"MS","Y",153950,1430
"MSA","Y",5980,36.12
"MSB","Y",454.54,13.11
"MSC","Y",1220,10.62
"MSCI","Y",38440,79.94
"MSD","Y",184.91,NA
"MSGN","Y",890.02,41.1
"MSI","Y",31710,168.07
"MSM","Y",4940,45.56
"MS","Y",153950,1430
"MT","Y",32000,653.43
"MTB","Y",19940,127.72
"MTD","Y",29310,23.01
"MTDR","Y",2950,109.91
"MTG","Y",4880,333.17
"MTH","Y",3580,36.84
"MTL","Y",537.36,171.12
"MTN","Y",12550,39.72
"MTOR","Y",2070,71.02
"MTR","Y",8.69,1.86
"MTRN","Y",1390,20
"MTT","Y",258.4,NA
"MTW","Y",736.11,34.08
"MTX","Y",2580,33.69
"MTZ","Y",7220,55.63
"MUA","Y",549.75,NA
"MUC","Y",620.37,NA
"MUE","Y",302.68,NA
"MUFG","Y",73240,12720
"MUH","Y",NA,NA
"MUI","Y",579.04,NA
"MUJ","Y",453.84,NA
"MUR","Y",2650,144.92
"MUS","Y",NA,NA
"MUSA","Y",3790,26.58
"MUX","Y",523.58,373.71
"MVF","Y",611.73,NA
"MVO","Y",56.98,7.19
"MVT","Y",323.51,NA
"MWA","Y",2230,156.07
"MX","Y",1220,34.45
"MXE","Y",19.51,NA
"MXF","Y",221.48,NA
"MXL","Y",2720,69.31
"MYC","Y",323.43,NA
"MYD","Y",691.13,NA
"MYE","Y",759.41,35.48
"MYF","Y",196.38,NA
"MYI","Y",977.96,NA
"MYJ","Y",361.19,NA
"MYN","Y",543.13,NA
"MYOV","Y",1570,32.77
"MZA","Y",67.88,NA
"NAC","Y",2190,NA
"NAD","Y",3240,NA
"NAN","Y",443.02,NA
"NAT","Y",475.36,146.08
"NAV","Y",4400,99.16
"NAZ","Y",176.92,NA
"NBB","Y",623.19,NA
"NBHC","Y",1210,29.22
"NBR","Y",660.58,6.77
"NC","Y",158.55,3.03
"NCA","Y",289.06,NA
"NCB","Y",NA,NA
"NCLH","Y",10330,314.15
"NCR","Y",5340,127
"NCV","Y",522.36,NA
"NCZ","Y",388.95,NA
"NDP","Y",32.63,NA
"NEA","Y",4500,NA
"NEE","Y",155030,1960
"NEM","Y",51400,792
"NEP","Y",5580,71.29
"NET","Y",23810,94.85
"NEU","Y",4200,9.02
"NEV","Y",425.4,NA
"NEW","Y",340.78,86.78
"NEWR","Y",4230,50.95
"NEX","Y",825.2,196.12
"NEXA","Y",1360,44.4
"NFG","Y",4640,89.81
"NFH","Y",1610,116.16
"NFJ","Y",1370,NA
"NGG","Y",44500,699.83
"NGL","Y",264.41,123.02
"NGS","Y",124.98,12.44
"NGVC","Y",370.08,12.07
"NGVT","Y",3090,41
"NHA","Y",NA,NA
"NHF","Y",533.41,NA
"NHI","Y",3370,43.09
"NI","Y",10070,381.71
"NID","Y",670.34,NA
"NIE","Y",808.27,NA
"NIM","Y",133.04,NA
"NINE","Y",67.81,15.94
"NIO","Y",59550,1010
"NIQ","Y",191.48,NA
"NI","Y",10070,381.71
"NJR","Y",4010,95.41
"NJV","Y",NA,NA
"NKE","Y",208460,1270
"NKG","Y",139.46,NA
"NKX","Y",740.37,NA
"NL","Y",381.19,8.3
"NLS","Y",530.46,29.58
"NLSN","Y",9030,354.46
"NLY","Y",12250,1390
"NM","Y",145.26,12.18
"NMCO","Y",770.37,NA
"NMI","Y",106.7,NA
"NMM","Y",336.86,8.93
"NMR","Y",17100,2950
"NMS","Y",91.07,NA
"NMT","Y",136.48,NA
"NMY","Y",NA,NA
"NMZ","Y",1240,NA
"NM","Y",145.26,12.18
"NNA","Y",54.19,10.8
"NNI","Y",2860,16.78
"NNN","Y",8120,174.02
"NNY","Y",149.15,NA
"NOA","Y",338.85,28.71
"NOAH","Y",2570,43.06
"NOC","Y",55180,160.57
"NOK","Y",23740,5380
"NOM","Y",34.96,NA
"NOMD","Y",5170,146.54
"NOV","Y",5280,358.18
"NOVA","Y",3600,75.33
"NOW","Y",108200,195.35
"NP","Y",909.44,16.57
"NPK","Y",750.39,5.04
"NPN","Y",NA,NA
"NPO","Y",1760,20.17
"NPTN","Y",556.31,46.9
"NPV","Y",294.09,NA
"NQP","Y",538.69,NA
"NR","Y",299.32,87.97
"NRG","Y",9330,241.92
"NRGX","Y",465.85,NA
"NRK","Y",1200,NA
"NRP","Y",229.94,8.7
"NRT","Y",43.38,9.13
"NRUC","Y",NA,NA
"NRZ","Y",4260,412.78
"NS","Y",2000,97.85
"NSA","Y",3280,61.75
"NSC","Y",73750,251.57
"NSCO","Y",NA,NA
"NSL","Y",216.61,NA
"NSP","Y",3310,35.62
